parking_id,parking_name,landmark,timings,longitude,latitude,facility,supported_vehicles,price_bike,price_hatchback,price_sedan,price_suv,price_ev,slots_bike,slots_hatchback,slots_sedan,slots_suv,slots_ev
rajkot_public_car_soni_bazar,Public Car Parking Rajkot,"Near Soni Bazar, Rajkot",6 am - 11pm,70.783737,22.2954031,"Paid Parking, Parking Attendant, Night Lighting, Cash Payment, UPI Payment, Time-Based Billing, 2W Parking, Car Parking, Enforcement Support","bike, hatchback, sedan, suv",20,40,50,60,,40,20,15,10,
rajkot_public_car_soni_bazar,Rajkot Bus Stand Paid Parking,Rajkot Bus Stand,24 x 7,70.783737,22.2954031,"Paid Parking, 24x7 Access, Security Guard, CCTV, Night Lighting, Cash Payment, UPI Payment, Receipt System, 2W Parking, Car Parking, Bus Parking, Enforcement Support","bike, hatchback, sedan, suv, ev",20,40,50,60,70,80,40,30,20,10
rajkot_dhebar_road_pay_park,Pay & Park - Parking Service,Dhebar Road area,8am - 8 pm,70.7934367,22.2935784,"Paid Parking, Parking Attendant, Night Lighting, Cash Payment, UPI Payment, Time-Based Billing, 2W Parking, Car Parking, Enforcement Support","bike, hatchback, sedan, suv",20,40,50,60,,30,15,10,8,
rajkot_tagore_road_parking,Parking Lot,Tagore Road area,24 x 7,70.7734106,22.2890964,"Paid Parking, Covered Parking, Security Guard, CCTV, Valet Parking, Cash Payment, Card Payment, UPI Payment, Marked Slots, 2W Parking, Car Parking, SUV Parking","bike, hatchback, sedan, suv",20,40,50,60,,25,12,10,8,
rajkot_crystal_mall_parking,Parking Crystal Mall,"Crystal Mall, Kalavad Road",10 am - 11 pm,70.7439601,22.2802411,"Guard, CCTV, Ticket System, Controlled Entry, Car Parking, SUV Parking","bike, hatchback, sedan, suv, ev",20,40,50,60,70,60,50,40,30,10
rajkot_kalavad_road_valet,Valet Parking Services,Kalavad Road commercial area,10 am -10 pm,70.7547712,22.2859785,"Valet Parking, Security Guard, CCTV, Ticket System, Controlled Entry, Car Parking, SUV Parking","bike, hatchback, sedan, suv, ev",20,40,50,60,70,,20,20,15,10
rajkot_radha_motors_parking,Radha Motors Parking,Kalavad Road,9am -9 am,70.7722877,22.2826288,"Paid Parking, Parking Attendant, Daytime Operation, Cash Payment, 2W Parking, Car Parking","bike, hatchback, sedan",20,40,50,,,20,10,8,,
rajkot_nana_mava_pay_park,OM Pay & Parking,Nana Mava Road,24 x 7,70.7282258,22.2737529,"Paid Parking, Open Plot Parking, Parking Attendant, Night Lighting, Cash Payment, UPI Payment, 2W Parking, Car Parking","bike, hatchback, sedan, suv",20,40,50,60,,35,18,15,10,
rajkot_nana_mava_circle_pay_park,Pay and Parking,Nana Mava Circle,24 x 7,70.7618459,22.2816951,"Paid Parking, On-Street Parking, Parking Attendant, Night Lighting, Cash Payment, UPI Payment, 2W Parking, Car Parking","bike, hatchback, sedan, suv",20,40,50,60,,30,15,12,10,
rajkot_bhaktinagar_station,Bhaktinagar Station Parking,Bhaktinagar Railway Station,24 x 7,70.7833995,22.2845574,"Paid Parking, 24x7 Access, Security Guard, CCTV, Night Lighting, Token System, Cash Payment, UPI Payment, 2W Parking, Car Parking, Enforcement Support","bike, hatchback, sedan, suv",20,40,50,60,70,70,35,30,20,10
rajkot_gondal_road_parking,Parking Lot (Gondal Road),Gondal Road,24 x 7,70.7861982,22.2827627,"Paid Parking, On-Street Parking, Parking Attendant, Night Lighting, Cash Payment, UPI Payment, 2W Parking, Car Parking","bike, hatchback, sedan, suv",20,40,50,60,,30,15,12,10,
rajkot_gondal_road_pay_park,Pay and Parking,Gondal Road area,24 x 7,70.790214,22.269801,"Public Parking, Daytime Operation, Open Plot Parking, Parking Attendant, 2W Parking, Car Parking","bike, hatchback, sedan, suv, ev",20,40,50,60,,20,10,8,,
rajkot_babubhai_vaidya_parking,Parking for Babubhai Vaidya Library,"Babubhai Vaidya Library, Raiya Road",24 x 7,70.7382959,22.2987255,"Paid Parking, On-Street Parking, Parking Attendant, Night Lighting, Cash Payment, UPI Payment, 2W Parking, Car Parking","bike, hatchback, sedan",20,40,50,,,35,18,15,10,
rajkot_raiya_road_pay_park,Pay and Parking,Raiya Road,24 x 7,70.7492958,22.2994643,"Paid Parking, Large Open Plot, Parking Attendant, Night Lighting, Cash Payment, UPI Payment, 2W Parking, Car Parking, Bus Parking, Enforcement Support","bike, hatchback, sedan, suv",20,40,50,60,,30,15,12,10,
rajkot_150ft_ring_road_pay_park,Pay and Parking,150 Feet Ring Road,24 x 7,70.7622696,22.2804588,"Paid Parking, Large Open Plot, Parking Attendant, Night Lighting, Cash Payment, UPI Payment, 2W Parking, Car Parking, Bus Parking, Enforcement Support","bike, hatchback, sedan, suv, ev",20,40,50,60,70,50,25,20,20,10
